idx,dist_m,x_m,y_m,elev_m,lat_deg,lon_deg,edge1_lat_deg,edge1_lon_deg,edge2_lat_deg,edge2_lon_deg
1130,3393.0000,-630.6815,-74.3450,589.341,50.33484947,6.93870818,50.33483933,6.93872712,50.33479057,6.93881827
1131,3396.0000,-628.7459,-72.0515,589.285,50.33487033,6.93873499,50.33486000,6.93875420,50.33481126,6.93884480
1132,3399.0000,-626.8039,-69.7647,589.230,50.33489119,6.93876183,50.33488062,6.93878138,50.33483192,6.93887135
1133,3402.0000,-624.8534,-67.4835,589.179,50.33491205,6.93878870,50.33490118,6.93880865,50.33485256,6.93889792
1134,3405.0000,-622.8943,-65.2089,589.128,50.33493291,6.93881560,50.33492169,6.93883604,50.33487317,6.93892449
1135,3408.0000,-620.9267,-62.9421,589.076,50.33495376,6.93884253,50.33494214,6.93886355,50.33489377,6.93895106
1136,3411.0000,-618.9499,-60.6831,589.034,50.33497461,6.93886948,50.33496252,6.93889118,50.33491435,6.93897763
1137,3414.0000,-616.9630,-58.4330,588.990,50.33499547,6.93889647,50.33498283,6.93891894,50.33493491,6.93900418
1138,3417.0000,-614.9655,-56.1929,588.957,50.33501632,6.93892346,50.33500306,6.93894684,50.33495547,6.93903072
1139,3420.0000,-612.9574,-53.9628,588.917,50.33503720,6.93895046,50.33502320,6.93897489,50.33497604,6.93905721
1140,3423.0000,-610.9371,-51.7427,588.877,50.33505810,6.93897744,50.33504325,6.93900309,50.33499662,6.93908367
1141,3426.0000,-608.9054,-49.5348,588.835,50.33507902,6.93900443,50.33506321,6.93903146,50.33501721,6.93911009
1142,3429.0000,-606.8609,-47.3381,588.795,50.33509998,6.93903141,50.33508306,6.93905999,50.33503780,6.93913649
1143,3432.0000,-604.8036,-45.1547,588.761,50.33512096,6.93905839,50.33510281,6.93908870,50.33505839,6.93916288
1144,3435.0000,-602.7321,-42.9847,588.726,50.33514198,6.93908537,50.33512244,6.93911759,50.33507899,6.93918927
1145,3438.0000,-600.6470,-40.8280,588.693,50.33516304,6.93911235,50.33514195,6.93914668,50.33509958,6.93921567
1146,3441.0000,-598.5470,-38.6857,588.660,50.33518414,6.93913933,50.33516134,6.93917596,50.33512016,6.93924211
1147,3444.0000,-596.4328,-36.5590,588.632,50.33520529,6.93916632,50.33518060,6.93920545,50.33514073,6.93926860
1148,3447.0000,-594.3021,-34.4479,588.604,50.33522651,6.93919332,50.33519972,6.93923514,50.33516128,6.93929516
1149,3450.0000,-592.1566,-32.3546,588.577,50.33524781,6.93922029,50.33521870,6.93926506,50.33518181,6.93932180
1150,3453.0000,-589.9968,-30.2758,588.550,50.33526914,6.93924727,50.33523752,6.93929519,50.33520232,6.93934854
1151,3456.0000,-587.8213,-28.2114,588.523,50.33529046,6.93927434,50.33525621,6.93932552,50.33522283,6.93937541
1152,3459.0000,-585.6287,-26.1626,588.499,50.33531175,6.93930160,50.33527477,6.93935607,50.33524332,6.93940240
1153,3462.0000,-583.4205,-24.1282,588.476,50.33533297,6.93932914,50.33529319,6.93938686,50.33526376,6.93942957
1154,3465.0000,-581.1952,-22.1117,588.454,50.33535407,6.93935702,50.33531148,6.93941787,50.33528408,6.93945701
1155,3468.0000,-578.9521,-20.1129,588.436,50.33537500,6.93938531,50.33532961,6.93944912,50.33530425,6.93948476
1156,3471.0000,-576.6927,-18.1342,588.420,50.33539572,6.93941408,50.33534758,6.93948062,50.33532422,6.93951289
1157,3474.0000,-574.4154,-16.1743,588.407,50.33541615,6.93944339,50.33536537,6.93951235,50.33534395,6.93954145
1158,3477.0000,-572.1203,-14.2345,588.396,50.33543628,6.93947327,50.33538299,6.93954433,50.33536338,6.93957048
1159,3480.0000,-569.8082,-12.3180,588.387,50.33545609,6.93950370,50.33540043,6.93957656,50.33538248,6.93960005
1160,3483.0000,-567.4768,-10.4238,588.383,50.33547558,6.93953469,50.33541766,6.93960903,50.33540120,6.93963017
1161,3486.0000,-565.1277,-8.5529,588.384,50.33549472,6.93956626,50.33543469,6.93964177,50.33541953,6.93966084
1162,3489.0000,-562.7593,-6.7075,588.387,50.33551350,6.93959840,50.33545151,6.93967476,50.33543748,6.93969205
1163,3492.0000,-560.3724,-4.8878,588.391,50.33553189,6.93963112,50.33546810,6.93970802,50.33545503,6.93972378
1164,3495.0000,-557.9670,-3.0948,588.397,50.33554987,6.93966443,50.33548446,6.93974154,50.33547218,6.93975601
1165,3498.0000,-555.5410,-1.3295,588.406,50.33556743,6.93969833,50.33550058,6.93977532,50.33548894,6.93978874
1166,3501.0000,-553.0964,0.4068,588.419,50.33558454,6.93973283,50.33551645,6.93980939,50.33550529,6.93982194
1167,3504.0000,-550.6319,2.1142,588.434,50.33560119,6.93976789,50.33553206,6.93984372,50.33552121,6.93985562
1168,3507.0000,-548.1475,3.7905,588.455,50.33561742,6.93980349,50.33554741,6.93987833,50.33553671,6.93988977
1169,3510.0000,-545.6425,5.4345,588.480,50.33563320,6.93983962,50.33556248,6.93991322,50.33555177,6.93992437
1170,3513.0000,-543.1175,7.0463,588.509,50.33564853,6.93987625,50.33557726,6.93994840,50.33556638,6.93995941
1171,3516.0000,-540.5726,8.6225,588.543,50.33566339,6.93991339,50.33559175,6.93998386,50.33558056,6.93999487
1172,3519.0000,-538.0056,10.1664,588.579,50.33567778,6.93995102,50.33560592,6.94001960,50.33559428,6.94003071
1173,3522.0000,-535.4172,11.6759,588.618,50.33569166,6.93998910,50.33561980,6.94005565,50.33560757,6.94006698
1174,3525.0000,-532.8083,13.1531,588.659,50.33570503,6.94002760,50.33563337,6.94009200,50.33562041,6.94010365
1175,3528.0000,-530.1800,14.5981,588.703,50.33571788,6.94006651,50.33564665,6.94012864,50.33563281,6.94014071
1176,3531.0000,-527.5319,16.0096,588.748,50.33573025,6.94010579,50.33565964,6.94016555,50.33564476,6.94017815
1177,3534.0000,-524.8660,17.3890,588.796,50.33574213,6.94014541,50.33567233,6.94020274,50.33565626,6.94021594
1178,3537.0000,-522.1830,18.7372,588.846,50.33575354,6.94018533,50.33568473,6.94024018,50.33566729,6.94025408
1179,3540.0000,-519.4829,20.0531,588.899,50.33576448,6.94022556,50.33569685,6.94027786,50.33567786,6.94029254
1180,3543.0000,-516.7664,21.3368,588.953,50.33577494,6.94026605,50.33570868,6.94031578,50.33568799,6.94033131
1181,3546.0000,-514.0350,22.5893,589.009,50.33578495,6.94030680,50.33572022,6.94035393,50.33569769,6.94037033
1182,3549.0000,-511.2893,23.8107,589.067,50.33579449,6.94034779,50.33573148,6.94039229,50.33570697,6.94040960
1183,3552.0000,-508.5294,25.0010,589.129,50.33580357,6.94038899,50.33574246,6.94043085,50.33571583,6.94044909
1184,3555.0000,-505.7567,26.1612,589.194,50.33581224,6.94043036,50.33575316,6.94046961,50.33572427,6.94048880
1185,3558.0000,-502.9719,27.2903,589.241,50.33582056,6.94047186,50.33576359,6.94050855,50.33573229,6.94052871
1186,3561.0000,-500.1757,28.3904,589.299,50.33582856,6.94051343,50.33577374,6.94054766,50.33573989,6.94056879
1187,3564.0000,-497.3689,29.4594,589.355,50.33583629,6.94055506,50.33578363,6.94058693,50.33574720,6.94060897
1188,3567.0000,-494.5520,30.4984,589.413,50.33584379,6.94059671,50.33579324,6.94062635,50.33575436,6.94064913
1189,3570.0000,-491.7267,31.5084,589.471,50.33585111,6.94063835,50.33580258,6.94066591,50.33576141,6.94068928
